Comment,Designator,Footprint,LCSC Part Number
22pF,"C2,C1",C_0805_2012Metric,C1804
100nF,"C3,C5,C4,C8",C_1206_3216Metric,C24497
100uF,C6,C_1206_3216Metric,C15008
D_Schottky,"D2,D5",D_0603_1608Metric,C3758192 
LED_TEST,"D3,D4,D6",LED_0805_2012Metric,C2297
PIC18F45K50-I/MV,PIC18F45K50,QFN-40-1EP_5x5mm_P0.4mm_EP3.6x3.6mm,C638925
10k,"R3,R7",R_1206_3216Metric,C17902
470Ohm,"R8,R4,R5,R1",R_0805_2012Metric,C17710
16MHz,X1,Crystal_SMD_2520-4Pin_2.5x2.0mm,C13738
SW_RST,SW1,SW_SPST_SKQG_WithStem,C318884
