"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J2";"USB_Mini-B_Tensility_54-00023_Vertical";1;"USB_B_Mini";;;
2;"SW1";"SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS";1;"C318938";;;
3;"R8,R4,R1";"R_0805_2012Metric";3;"470";;;
4;"D6";"LED_0805_2012Metric";1;"LED_TEST";;;
5;"D4";"LED_0805_2012Metric";1;"LED_ICSP";;;
6;"D3";"LED_0805_2012Metric";1;"LED_USB";;;
7;"C2,C1";"C_0805_2012Metric";2;"22pF";;;
8;"J1";"PinHeader_1x06_P2.54mm_Vertical";1;"PIC_ICSP_ICD";;;
9;"C3,C5,C4,C8";"C_1206_3216Metric";4;"100nF";;;
10;"PIC18F45K50";"QFN-40-1EP_5x5mm_P0.4mm_EP3.6x3.6mm";1;"PIC18F45K50-I/MV";;;
11;"X1";"Crystal_SMD_2520-4Pin_2.5x2.0mm";1;"16MHz";;;
12;"D2,D5";"D_0603_1608Metric";2;"D_Schottky";;;
13;"R3,R7";"R_1206_3216Metric";2;"10k";;;
14;"C6";"C_1206_3216Metric";1;"100uF";;;
15;"R5";"R_1206_3216Metric";1;"470";;;
16;"J5";"PinHeader_1x17_P2.54mm_Vertical";1;"RIGHT_PORT";;;
17;"J6";"PinHeader_1x18_P2.54mm_Vertical";1;"LEFT_PORT";;;
